measure,quantile,time,sex,age,ethnic,value
lx,50%,2017-19,Female,70 years,nonMaori,89863
qx,50%,2017-19,Male,2 years,Total,2.50E-04
mx,50%,2017-19,Female,95 years,nonMaori,0.25205
qx,2.50%,2017-19,Male,20 years,Pacific,5.10E-04
Lx,50%,2017-19,Female,11 years,nonMaori,99502
mx,50%,2017-19,Male,15 years,Maori,5.50E-04
ex,97.50%,2017-19,Male,22 years,European or Other,59.68
ex,97.50%,2017-19,Female,51 years,Pacific,30.78
Lx,2.50%,2017-19,Female,12 years,Asian,99490
mx,2.50%,2017-19,Female,38 years,Asian,2.00E-04
lx,97.50%,2017-19,Male,41 years,Total,97263
mx,50%,2017-19,Male,63 years,nonMaori,0.00771
dx,97.50%,2017-19,Female,21 years,Pacific,48
qx,97.50%,2017-19,Female,19 years,Total,4.00E-04
ex,2.50%,2017-19,Female,84 years,Pacific,6.28
lx,50%,2017-19,Male,81 years,Pacific,41455
dx,50%,2017-19,Female,56 years,Total,305
mx,2.50%,2017-19,Female,72 years,Total,0.0139
dx,50%,2017-19,Male,46 years,Total,192
px,2.50%,2017-19,Male,96 years,European or Other,0.70519
lx,97.50%,2017-19,Male,12 years,Maori,99244
qx,2.50%,2017-19,Male,90 years,Total,0.15834
lx,50%,2017-19,Male,26 years,Pacific,98317
ex,50%,2017-19,Male,9 years,nonMaori,72.35
ex,2.50%,2017-19,Male,94 years,Maori,2.52
dx,50%,2017-19,Male,11 years,Maori,26
ex,97.50%,2017-19,Male,51 years,Maori,26.5
qx,2.50%,2017-19,Male,26 years,Maori,0.00125
qx,2.50%,2017-19,Male,98 years,nonMaori,0.29898
mx,2.50%,2017-19,Male,86 years,European or Other,0.10679
ex,97.50%,2017-19,Female,74 years,Maori,11.88
dx,97.50%,2017-19,Female,78 years,Asian,1870
qx,2.50%,2017-19,Female,8 years,Total,6.00E-05
lx,50%,2017-19,Male,29 years,nonMaori,98595
Lx,97.50%,2017-19,Male,42 years,Pacific,96108
ex,97.50%,2017-19,Male,39 years,nonMaori,43.31
mx,97.50%,2017-19,Female,19 years,Maori,7.40E-04
Lx,50%,2017-19,Female,56 years,nonMaori,96345
ex,2.50%,2017-19,Female,26 years,nonMaori,58.9
Lx,97.50%,2017-19,Female,79 years,nonMaori,76382
mx,2.50%,2017-19,Female,94 years,Total,0.2165
Lx,2.50%,2017-19,Male,26 years,Pacific,98056
Lx,2.50%,2017-19,Male,2 years,nonMaori,99460
mx,50%,2017-19,Male,7 years,Maori,1.70E-04
mx,97.50%,2017-19,Male,54 years,European or Other,0.00374
qx,2.50%,2017-19,Male,8 years,European or Other,6.00E-05
mx,97.50%,2017-19,Male,25 years,Maori,0.00173
Lx,50%,2017-19,Male,0 years,nonMaori,99580
Lx,97.50%,2017-19,Male,45 years,Maori,93974
ex,97.50%,2017-19,Female,15 years,Maori,62.93
dx,2.50%,2017-19,Female,31 years,Maori,86
dx,97.50%,2017-19,Female,18 years,Maori,66
Lx,2.50%,2017-19,Male,15 years,Total,99205
mx,2.50%,2017-19,Female,58 years,Maori,0.00797
Lx,50%,2017-19,Female,0 years,European or Other,99737
qx,97.50%,2017-19,Male,93 years,nonMaori,0.2273
ex,50%,2017-19,Female,45 years,nonMaori,40.44
ex,97.50%,2017-19,Female,17 years,Maori,60.98
dx,2.50%,2017-19,Male,5 years,Pacific,12
ex,97.50%,2017-19,Female,92 years,Maori,4.64
ex,97.50%,2017-19,Male,71 years,Asian,18.02
lx,50%,2017-19,Female,31 years,Pacific,98557
px,50%,2017-19,Female,25 years,European or Other,0.99967
mx,2.50%,2017-19,Male,62 years,Total,0.00765
px,2.50%,2017-19,Male,68 years,Pacific,0.97195
px,50%,2017-19,Male,84 years,Asian,0.9477
dx,2.50%,2017-19,Male,76 years,Pacific,2687
dx,50%,2017-19,Male,81 years,Asian,2759
qx,97.50%,2017-19,Male,96 years,Asian,0.26789
Lx,97.50%,2017-19,Male,11 years,Total,99400
qx,50%,2017-19,Female,95 years,Asian,0.17649
dx,2.50%,2017-19,Female,67 years,nonMaori,616
qx,2.50%,2017-19,Male,2 years,Asian,9.00E-05
px,2.50%,2017-19,Male,33 years,Asian,0.99954
qx,50%,2017-19,Female,9 years,Maori,1.40E-04
lx,97.50%,2017-19,Female,98 years,European or Other,6556
mx,97.50%,2017-19,Male,13 years,Pacific,3.80E-04
ex,2.50%,2017-19,Female,40 years,nonMaori,45.19
ex,97.50%,2017-19,Female,26 years,Pacific,54.34
dx,2.50%,2017-19,Male,21 years,Pacific,55
qx,2.50%,2017-19,Male,56 years,Maori,0.00935
Lx,97.50%,2017-19,Female,36 years,Pacific,98309
qx,97.50%,2017-19,Female,72 years,Maori,0.03559
lx,2.50%,2017-19,Male,11 years,Asian,99392
qx,50%,2017-19,Male,99 years,Total,0.33161
ex,97.50%,2017-19,Male,47 years,Pacific,31.45
dx,50%,2017-19,Female,72 years,nonMaori,1152
Lx,2.50%,2017-19,Female,36 years,Total,98485
px,2.50%,2017-19,Male,92 years,nonMaori,0.79248
px,97.50%,2017-19,Female,69 years,Total,0.99044
lx,97.50%,2017-19,Female,49 years,European or Other,98018
lx,2.50%,2017-19,Male,92 years,Maori,6660
mx,50%,2017-19,Male,81 years,nonMaori,0.05758
qx,50%,2017-19,Female,50 years,nonMaori,0.00159
qx,50%,2017-19,Male,77 years,European or Other,0.03253
qx,50%,2017-19,Female,58 years,Maori,0.00889
mx,50%,2017-19,Male,19 years,nonMaori,5.40E-04
ex,97.50%,2017-19,Male,3 years,Maori,71.22
px,2.50%,2017-19,Male,30 years,Pacific,0.99851
mx,50%,2017-19,Female,41 years,Pacific,0.00159
ex,2.50%,2017-19,Female,15 years,Asian,72.9
mx,50%,2017-19,Male,71 years,European or Other,0.01553
lx,97.50%,2017-19,Female,62 years,Asian,97215
mx,2.50%,2017-19,Male,40 years,nonMaori,9.80E-04
dx,50%,2017-19,Male,14 years,Total,26
Lx,2.50%,2017-19,Male,59 years,Asian,95381
ex,2.50%,2017-19,Male,66 years,European or Other,18.73
px,97.50%,2017-19,Male,36 years,European or Other,0.99916
dx,2.50%,2017-19,Female,89 years,nonMaori,4711
ex,2.50%,2017-19,Male,83 years,Total,6.89
Lx,50%,2017-19,Male,77 years,Total,68805
qx,50%,2017-19,Male,89 years,Asian,0.10468
Lx,97.50%,2017-19,Female,56 years,Asian,98078
qx,2.50%,2017-19,Female,60 years,European or Other,0.00343
px,97.50%,2017-19,Female,12 years,European or Other,0.99994
mx,97.50%,2017-19,Male,65 years,nonMaori,0.00963
qx,97.50%,2017-19,Female,66 years,Maori,0.02038
mx,2.50%,2017-19,Female,11 years,Pacific,1.00E-04
Lx,97.50%,2017-19,Female,4 years,Pacific,99484
lx,97.50%,2017-19,Male,14 years,Asian,99544
lx,2.50%,2017-19,Female,32 years,Pacific,98266
lx,50%,2017-19,Male,30 years,nonMaori,98535
dx,97.50%,2017-19,Female,47 years,Asian,86
lx,50%,2017-19,Female,17 years,Pacific,99155
ex,2.50%,2017-19,Male,62 years,Pacific,18.07
dx,50%,2017-19,Female,69 years,nonMaori,800
px,2.50%,2017-19,Female,74 years,Asian,0.98735
qx,97.50%,2017-19,Male,105 years and over,Total,1
mx,97.50%,2017-19,Male,78 years,Pacific,0.07727
px,50%,2017-19,Female,96 years,European or Other,0.75453
ex,2.50%,2017-19,Female,34 years,nonMaori,51.05
mx,97.50%,2017-19,Female,79 years,Pacific,0.06279
ex,97.50%,2017-19,Male,62 years,nonMaori,22.21
px,50%,2017-19,Male,11 years,Asian,0.99985
ex,97.50%,2017-19,Female,73 years,European or Other,15.3
qx,97.50%,2017-19,Female,93 years,Maori,0.21377
qx,2.50%,2017-19,Male,2 years,European or Other,1.50E-04
ex,50%,2017-19,Female,27 years,Pacific,52.91
lx,2.50%,2017-19,Male,78 years,Maori,45455
mx,2.50%,2017-19,Female,15 years,nonMaori,1.20E-04
ex,2.50%,2017-19,Female,51 years,Maori,28.39
lx,2.50%,2017-19,Male,0 years,nonMaori,100000
qx,2.50%,2017-19,Male,21 years,Total,6.90E-04
mx,2.50%,2017-19,Female,53 years,Pacific,0.0036
mx,50%,2017-19,Male,25 years,Pacific,9.20E-04
qx,50%,2017-19,Male,55 years,Pacific,0.00674
mx,50%,2017-19,Male,52 years,Maori,0.00733
mx,50%,2017-19,Female,48 years,Total,0.00164
px,97.50%,2017-19,Male,91 years,Pacific,0.84109
ex,2.50%,2017-19,Male,48 years,Total,33.99
qx,97.50%,2017-19,Male,12 years,Maori,3.90E-04
dx,97.50%,2017-19,Male,5 years,Total,14
dx,2.50%,2017-19,Male,10 years,Maori,17
Lx,97.50%,2017-19,Male,66 years,Total,86452
ex,97.50%,2017-19,Male,36 years,Pacific,41.5
mx,2.50%,2017-19,Male,55 years,Total,0.00421
Lx,50%,2017-19,Male,6 years,Pacific,99220
mx,2.50%,2017-19,Female,15 years,Total,1.80E-04
dx,2.50%,2017-19,Female,66 years,Maori,1361
mx,2.50%,2017-19,Female,94 years,nonMaori,0.21692
mx,2.50%,2017-19,Male,34 years,European or Other,8.00E-04
qx,50%,2017-19,Male,10 years,nonMaori,1.00E-04
dx,2.50%,2017-19,Female,100 years and over,European or Other,2850
px,50%,2017-19,Male,95 years,Total,0.74726
px,50%,2017-19,Male,22 years,Pacific,0.99922
px,97.50%,2017-19,Female,46 years,European or Other,0.99907
ex,2.50%,2017-19,Male,72 years,nonMaori,13.98
mx,50%,2017-19,Female,67 years,Pacific,0.01436
qx,97.50%,2017-19,Male,99 years,Pacific,0.48374
lx,2.50%,2017-19,Female,12 years,Pacific,99106
px,97.50%,2017-19,Male,72 years,Total,0.98014
lx,50%,2017-19,Female,40 years,Pacific,97635
mx,50%,2017-19,Female,9 years,nonMaori,6.00E-05
qx,50%,2017-19,Male,36 years,Total,0.00102
Lx,97.50%,2017-19,Female,28 years,Maori,98527
mx,97.50%,2017-19,Female,87 years,Asian,0.08314
Lx,50%,2017-19,Male,3 years,Total,99445
Lx,97.50%,2017-19,Male,76 years,nonMaori,74039
mx,2.50%,2017-19,Female,22 years,Asian,1.10E-04
lx,50%,2017-19,Female,32 years,Pacific,98487
dx,50%,2017-19,Male,78 years,Pacific,3344
lx,2.50%,2017-19,Female,28 years,Pacific,98545
Lx,50%,2017-19,Female,25 years,Asian,99408
ex,50%,2017-19,Male,91 years,Asian,4.87
lx,2.50%,2017-19,Female,83 years,Total,63137
ex,50%,2017-19,Female,0 years,European or Other,84.5
dx,50%,2017-19,Male,19 years,Maori,100
ex,50%,2017-19,Male,50 years,Asian,36.3
lx,2.50%,2017-19,Female,93 years,Maori,9727
dx,2.50%,2017-19,Female,47 years,European or Other,100
Lx,2.50%,2017-19,Female,3 years,Total,99482
ex,2.50%,2017-19,Female,66 years,Asian,23.2
px,2.50%,2017-19,Male,101 years,Total,0.58646
mx,97.50%,2017-19,Male,47 years,European or Other,0.0019
qx,50%,2017-19,Female,65 years,Total,0.00697
dx,97.50%,2017-19,Male,58 years,European or Other,489
Lx,97.50%,2017-19,Female,32 years,Maori,98164
px,50%,2017-19,Female,27 years,nonMaori,0.99971
mx,2.50%,2017-19,Male,60 years,nonMaori,0.00559
dx,97.50%,2017-19,Female,26 years,European or Other,38
Lx,97.50%,2017-19,Female,56 years,European or Other,96628
Lx,97.50%,2017-19,Male,46 years,Asian,98410
ex,50%,2017-19,Male,2 years,Total,78.38
dx,2.50%,2017-19,Female,6 years,Asian,7
lx,97.50%,2017-19,Female,94 years,Pacific,11482
px,97.50%,2017-19,Female,12 years,Total,0.9999
qx,50%,2017-19,Female,72 years,Maori,0.03216
Lx,97.50%,2017-19,Male,44 years,Pacific,95630
px,97.50%,2017-19,Female,32 years,nonMaori,0.99968
px,2.50%,2017-19,Female,45 years,Pacific,0.99729
qx,2.50%,2017-19,Female,25 years,Asian,1.20E-04
px,50%,2017-19,Female,33 years,Pacific,0.99914
qx,2.50%,2017-19,Female,24 years,Total,3.40E-04
qx,50%,2017-19,Male,15 years,nonMaori,2.60E-04
px,50%,2017-19,Female,97 years,European or Other,0.73127
lx,97.50%,2017-19,Male,58 years,nonMaori,93872
Lx,2.50%,2017-19,Female,0 years,European or Other,99697
dx,50%,2017-19,Female,23 years,Asian,17
px,2.50%,2017-19,Male,93 years,Maori,0.7316
ex,2.50%,2017-19,Female,81 years,nonMaori,9.3
qx,50%,2017-19,Female,62 years,nonMaori,0.00438
ex,50%,2017-19,Male,33 years,Pacific,43.85
dx,2.50%,2017-19,Male,98 years,European or Other,900
ex,50%,2017-19,Male,49 years,Pacific,29.25
lx,2.50%,2017-19,Female,15 years,Total,99354
mx,2.50%,2017-19,Female,68 years,Total,0.00866
dx,97.50%,2017-19,Female,72 years,Pacific,2265
mx,50%,2017-19,Male,100 years,Total,0.42807
dx,2.50%,2017-19,Male,64 years,Maori,1417
mx,50%,2017-19,Male,20 years,Pacific,6.60E-04
lx,97.50%,2017-19,Female,86 years,European or Other,55829
mx,97.50%,2017-19,Female,0 years,nonMaori,0.00431
px,97.50%,2017-19,Male,5 years,Pacific,0.99987
Lx,50%,2017-19,Male,83 years,European or Other,52574
mx,2.50%,2017-19,Female,65 years,Total,0.0066
mx,50%,2017-19,Male,95 years,Total,0.28929
lx,2.50%,2017-19,Female,8 years,Asian,99543
Lx,50%,2017-19,Female,98 years,Total,5180
qx,2.50%,2017-19,Female,9 years,Pacific,9.00E-05
ex,50%,2017-19,Female,76 years,Total,12.76
mx,50%,2017-19,Male,53 years,Total,0.00389
dx,2.50%,2017-19,Male,90 years,Asian,3988
mx,50%,2017-19,Female,38 years,nonMaori,5.60E-04
px,2.50%,2017-19,Female,61 years,Pacific,0.99
mx,50%,2017-19,Female,96 years,Total,0.27435
px,97.50%,2017-19,Male,41 years,nonMaori,0.99899
dx,97.50%,2017-19,Female,43 years,Total,109
dx,50%,2017-19,Female,48 years,Maori,332
px,97.50%,2017-19,Female,81 years,nonMaori,0.96188
mx,97.50%,2017-19,Male,56 years,nonMaori,0.0043
ex,2.50%,2017-19,Male,48 years,Maori,28.49
ex,50%,2017-19,Male,81 years,Maori,6.92
mx,2.50%,2017-19,Male,74 years,Asian,0.01329
mx,50%,2017-19,Male,84 years,Pacific,0.1122
lx,50%,2017-19,Female,41 years,nonMaori,98557
ex,2.50%,2017-19,Male,79 years,European or Other,9.14
lx,50%,2017-19,Male,49 years,European or Other,96476
qx,97.50%,2017-19,Female,72 years,European or Other,0.01371
qx,2.50%,2017-19,Male,66 years,European or Other,0.00926
Lx,2.50%,2017-19,Male,34 years,Maori,96164
ex,97.50%,2017-19,Female,70 years,Total,17.47
mx,2.50%,2017-19,Male,16 years,Asian,1.40E-04
ex,2.50%,2017-19,Female,71 years,Pacific,13.67
qx,2.50%,2017-19,Male,44 years,Pacific,0.00216
lx,97.50%,2017-19,Female,73 years,Pacific,76193
qx,97.50%,2017-19,Male,13 years,Total,2.50E-04
dx,2.50%,2017-19,Male,69 years,Total,1157
dx,50%,2017-19,Female,15 years,Asian,12
lx,2.50%,2017-19,Female,53 years,Pacific,93850
px,97.50%,2017-19,Male,36 years,Asian,0.99971
lx,97.50%,2017-19,Male,92 years,Pacific,10209
px,2.50%,2017-19,Female,70 years,European or Other,0.9901
dx,50%,2017-19,Female,64 years,nonMaori,512
lx,97.50%,2017-19,Female,20 years,Asian,99586
dx,2.50%,2017-19,Female,88 years,nonMaori,4632
Lx,97.50%,2017-19,Male,7 years,Maori,99333
qx,97.50%,2017-19,Female,35 years,nonMaori,5.20E-04
dx,2.50%,2017-19,Male,46 years,nonMaori,145
lx,50%,2017-19,Female,49 years,Maori,95021
lx,2.50%,2017-19,Female,63 years,Total,92771
Lx,2.50%,2017-19,Male,68 years,European or Other,86254
mx,2.50%,2017-19,Male,22 years,Total,7.10E-04
lx,50%,2017-19,Male,75 years,nonMaori,76929
Lx,50%,2017-19,Male,85 years,nonMaori,44297
qx,97.50%,2017-19,Female,18 years,Pacific,3.70E-04
mx,2.50%,2017-19,Female,15 years,European or Other,1.20E-04
mx,2.50%,2017-19,Female,61 years,Maori,0.01032
ex,2.50%,2017-19,Female,8 years,Asian,79.85
ex,2.50%,2017-19,Male,63 years,European or Other,21.23
px,2.50%,2017-19,Female,53 years,nonMaori,0.99771
dx,97.50%,2017-19,Male,65 years,Pacific,1663
qx,97.50%,2017-19,Female,44 years,Maori,0.00262
ex,50%,2017-19,Male,57 years,Maori,21.43
Lx,97.50%,2017-19,Male,70 years,Maori,66748
px,97.50%,2017-19,Male,36 years,Pacific,0.99854
qx,2.50%,2017-19,Male,32 years,nonMaori,6.20E-04
mx,50%,2017-19,Female,99 years,Maori,0.33078
mx,50%,2017-19,Female,99 years,Pacific,0.35319
mx,2.50%,2017-19,Male,74 years,Total,0.02426
px,2.50%,2017-19,Female,61 years,Total,0.99497
Lx,2.50%,2017-19,Female,51 years,Asian,98263
dx,50%,2017-19,Female,51 years,European or Other,166
px,50%,2017-19,Female,80 years,Maori,0.93658
qx,97.50%,2017-19,Male,7 years,Total,1.20E-04
px,2.50%,2017-19,Male,57 years,European or Other,0.99534
lx,2.50%,2017-19,Male,77 years,nonMaori,72295
ex,50%,2017-19,Male,60 years,Asian,27.04
mx,2.50%,2017-19,Male,95 years,nonMaori,0.27804
mx,97.50%,2017-19,Female,77 years,Pacific,0.04715
Lx,97.50%,2017-19,Female,35 years,nonMaori,98928
qx,2.50%,2017-19,Male,40 years,Asian,4.10E-04
dx,2.50%,2017-19,Male,95 years,Pacific,795
qx,2.50%,2017-19,Male,90 years,nonMaori,0.15823
lx,2.50%,2017-19,Male,62 years,Maori,80021
dx,50%,2017-19,Male,88 years,European or Other,4403
lx,2.50%,2017-19,Male,74 years,European or Other,78739
dx,2.50%,2017-19,Female,43 years,Asian,33
lx,2.50%,2017-19,Female,93 years,Pacific,10710
Lx,97.50%,2017-19,Male,17 years,Maori,98989
ex,50%,2017-19,Female,3 years,Maori,74.48
px,97.50%,2017-19,Female,38 years,Total,0.99939
mx,50%,2017-19,Female,64 years,Maori,0.0157
Lx,2.50%,2017-19,Male,12 years,nonMaori,99335
lx,2.50%,2017-19,Female,70 years,Asian,93927
mx,97.50%,2017-19,Male,16 years,Total,4.80E-04
Lx,97.50%,2017-19,Female,61 years,Asian,97306
px,50%,2017-19,Male,11 years,Total,0.99986
mx,2.50%,2017-19,Male,27 years,Maori,0.00134
ex,2.50%,2017-19,Male,12 years,Maori,61.75
mx,97.50%,2017-19,Female,37 years,Asian,3.40E-04
dx,50%,2017-19,Female,45 years,European or Other,94
lx,50%,2017-19,Male,37 years,Maori,95916
qx,2.50%,2017-19,Female,37 years,Asian,1.90E-04
lx,97.50%,2017-19,Female,46 years,Asian,99001
px,50%,2017-19,Female,28 years,European or Other,0.99967
mx,50%,2017-19,Male,72 years,nonMaori,0.0195
ex,97.50%,2017-19,Male,84 years,European or Other,6.51
Lx,2.50%,2017-19,Male,28 years,nonMaori,98544
lx,50%,2017-19,Female,100 years,Total,3014
mx,50%,2017-19,Male,38 years,Pacific,0.00202
dx,97.50%,2017-19,Male,58 years,Pacific,899
dx,50%,2017-19,Male,65 years,nonMaori,812
Lx,50%,2017-19,Male,60 years,Total,90994
px,97.50%,2017-19,Male,84 years,nonMaori,0.92243
Lx,97.50%,2017-19,Male,91 years,nonMaori,19055
mx,50%,2017-19,Female,33 years,Asian,2.00E-04
qx,97.50%,2017-19,Male,47 years,Maori,0.00509
ex,2.50%,2017-19,Female,0 years,Asian,87.52
mx,97.50%,2017-19,Female,16 years,Maori,5.40E-04
lx,97.50%,2017-19,Female,59 years,Total,94827
lx,2.50%,2017-19,Female,43 years,nonMaori,98334
px,2.50%,2017-19,Female,60 years,European or Other,0.99604
lx,50%,2017-19,Female,45 years,Pacific,96790
Lx,2.50%,2017-19,Female,72 years,Maori,68849
px,97.50%,2017-19,Male,95 years,Maori,0.78456
mx,2.50%,2017-19,Male,60 years,Asian,0.00335
mx,97.50%,2017-19,Female,43 years,Pacific,0.00227
px,50%,2017-19,Male,97 years,European or Other,0.69767
Lx,2.50%,2017-19,Female,92 years,Maori,10824
mx,2.50%,2017-19,Male,56 years,Total,0.00455
px,2.50%,2017-19,Female,21 years,European or Other,0.99962
ex,2.50%,2017-19,Male,38 years,nonMaori,44.09
px,50%,2017-19,Male,93 years,European or Other,0.78162
dx,97.50%,2017-19,Female,62 years,Pacific,1032
qx,97.50%,2017-19,Female,27 years,nonMaori,3.40E-04
qx,2.50%,2017-19,Female,30 years,nonMaori,2.70E-04
mx,97.50%,2017-19,Female,43 years,Total,0.00111
qx,2.50%,2017-19,Female,80 years,Total,0.03485
ex,97.50%,2017-19,Female,0 years,Pacific,79.52
mx,2.50%,2017-19,Female,32 years,nonMaori,3.20E-04
Lx,50%,2017-19,Female,48 years,Asian,98698
px,50%,2017-19,Female,74 years,Total,0.98207
ex,97.50%,2017-19,Female,7 years,Asian,81.63
mx,2.50%,2017-19,Female,99 years,nonMaori,0.35429
ex,2.50%,2017-19,Female,95 years,European or Other,3.11
ex,50%,2017-19,Female,96 years,nonMaori,2.97
lx,50%,2017-19,Male,38 years,nonMaori,97941
mx,2.50%,2017-19,Female,55 years,Pacific,0.00401
mx,50%,2017-19,Male,26 years,Pacific,9.60E-04
dx,97.50%,2017-19,Female,66 years,nonMaori,654
ex,2.50%,2017-19,Male,96 years,Pacific,1.99
mx,2.50%,2017-19,Female,98 years,Asian,0.20409
px,97.50%,2017-19,Female,87 years,nonMaori,0.91217
px,50%,2017-19,Male,86 years,Maori,0.87085
ex,50%,2017-19,Male,28 years,European or Other,53.81
lx,2.50%,2017-19,Female,19 years,Asian,99404
mx,97.50%,2017-19,Female,16 years,European or Other,2.10E-04
mx,2.50%,2017-19,Female,48 years,Asian,5.40E-04
dx,50%,2017-19,Male,52 years,nonMaori,285
ex,50%,2017-19,Male,50 years,Pacific,28.38
lx,97.50%,2017-19,Male,95 years,nonMaori,8327
ex,2.50%,2017-19,Female,97 years,Maori,2.46
mx,97.50%,2017-19,Female,89 years,Total,0.13107
ex,2.50%,2017-19,Female,54 years,nonMaori,31.84
Lx,2.50%,2017-19,Male,44 years,nonMaori,97110
mx,97.50%,2017-19,Male,12 years,Maori,3.90E-04
dx,2.50%,2017-19,Female,30 years,nonMaori,27
mx,97.50%,2017-19,Female,14 years,nonMaori,1.40E-04
dx,50%,2017-19,Female,17 years,Pacific,25
ex,50%,2017-19,Female,80 years,nonMaori,10.02
dx,97.50%,2017-19,Female,89 years,Total,4839
mx,2.50%,2017-19,Male,32 years,Pacific,0.0011
mx,50%,2017-19,Male,0 years,Maori,0.00609
mx,97.50%,2017-19,Female,86 years,Pacific,0.13088
qx,2.50%,2017-19,Female,27 years,European or Other,2.80E-04
lx,50%,2017-19,Male,65 years,nonMaori,89506
qx,2.50%,2017-19,Female,72 years,Maori,0.02903
ex,2.50%,2017-19,Male,43 years,Total,38.65
qx,97.50%,2017-19,Male,41 years,European or Other,0.00126
ex,97.50%,2017-19,Male,10 years,Asian,75.93
qx,2.50%,2017-19,Female,53 years,Maori,0.00504
Lx,2.50%,2017-19,Female,79 years,Maori,49706
lx,97.50%,2017-19,Female,18 years,Pacific,99268
ex,97.50%,2017-19,Male,86 years,Maori,5.46
Lx,2.50%,2017-19,Female,64 years,Asian,96075
qx,2.50%,2017-19,Female,77 years,European or Other,0.02068
dx,50%,2017-19,Female,20 years,Total,37
dx,50%,2017-19,Female,33 years,Pacific,85
ex,50%,2017-19,Male,69 years,Total,16.17
lx,50%,2017-19,Female,22 years,European or Other,99430
dx,2.50%,2017-19,Female,6 years,Maori,9
ex,97.50%,2017-19,Male,2 years,Asian,83.84
dx,97.50%,2017-19,Male,67 years,European or Other,998
dx,2.50%,2017-19,Female,60 years,Maori,856
qx,97.50%,2017-19,Male,25 years,Maori,0.00173
dx,2.50%,2017-19,Female,60 years,Asian,140
mx,50%,2017-19,Female,0 years,Asian,0.00292
mx,2.50%,2017-19,Male,7 years,Total,8.00E-05
px,2.50%,2017-19,Male,41 years,Total,0.99852
dx,97.50%,2017-19,Female,4 years,Pacific,22
px,97.50%,2017-19,Male,96 years,Maori,0.77524
mx,2.50%,2017-19,Male,53 years,nonMaori,0.003
mx,50%,2017-19,Female,78 years,nonMaori,0.02622
px,2.50%,2017-19,Male,98 years,nonMaori,0.6588
mx,2.50%,2017-19,Male,4 years,Asian,9.00E-05
lx,50%,2017-19,Female,80 years,nonMaori,74899
mx,2.50%,2017-19,Female,81 years,Maori,0.06317
dx,2.50%,2017-19,Male,38 years,nonMaori,82
Lx,97.50%,2017-19,Female,68 years,Pacific,83299
lx,97.50%,2017-19,Male,54 years,Asian,97491
ex,97.50%,2017-19,Female,77 years,Maori,10.3
Lx,2.50%,2017-19,Male,41 years,Pacific,95594
mx,2.50%,2017-19,Male,23 years,European or Other,5.90E-04
mx,50%,2017-19,Male,101 years,Total,0.46081
mx,2.50%,2017-19,Male,11 years,Pacific,1.50E-04
lx,2.50%,2017-19,Female,21 years,Pacific,98873
dx,50%,2017-19,Female,79 years,European or Other,2315
qx,97.50%,2017-19,Male,32 years,European or Other,9.00E-04
mx,50%,2017-19,Female,86 years,Total,0.08367
Lx,50%,2017-19,Female,51 years,European or Other,97537
ex,2.50%,2017-19,Male,98 years,nonMaori,2.22
lx,50%,2017-19,Female,59 years,Total,94691
qx,2.50%,2017-19,Female,46 years,European or Other,0.00093
px,2.50%,2017-19,Female,25 years,Total,0.99957
ex,97.50%,2017-19,Female,9 years,nonMaori,75.86
ex,50%,2017-19,Female,100 years,Pacific,2.62
dx,50%,2017-19,Male,53 years,nonMaori,310
qx,2.50%,2017-19,Male,12 years,European or Other,9.00E-05
dx,97.50%,2017-19,Male,38 years,Total,124
qx,50%,2017-19,Male,63 years,Total,0.00885
Lx,2.50%,2017-19,Female,84 years,Total,57951
ex,50%,2017-19,Female,77 years,Maori,10.01
dx,50%,2017-19,Female,89 years,Asian,4957
mx,2.50%,2017-19,Female,13 years,Total,1.20E-04
Lx,50%,2017-19,Male,27 years,nonMaori,98684
Lx,97.50%,2017-19,Male,57 years,European or Other,94135
ex,97.50%,2017-19,Male,50 years,Maori,27.33
Lx,97.50%,2017-19,Female,73 years,Total,84296
px,97.50%,2017-19,Female,3 years,Asian,0.99993
mx,2.50%,2017-19,Female,35 years,Maori,9.50E-04
qx,2.50%,2017-19,Female,13 years,Total,1.20E-04
qx,2.50%,2017-19,Female,49 years,European or Other,0.00124
qx,50%,2017-19,Female,96 years,European or Other,0.24547
mx,50%,2017-19,Female,103 years,Total,0.49109
px,50%,2017-19,Female,55 years,nonMaori,0.99755
lx,50%,2017-19,Female,0 years,Total,100000
mx,97.50%,2017-19,Female,46 years,European or Other,0.00115
dx,97.50%,2017-19,Female,58 years,Maori,897
mx,97.50%,2017-19,Female,30 years,Asian,2.30E-04
lx,2.50%,2017-19,Male,39 years,nonMaori,97749
ex,2.50%,2017-19,Female,42 years,Asian,46.2
mx,50%,2017-19,Male,73 years,Total,0.02316
lx,2.50%,2017-19,Female,92 years,Total,25115
lx,97.50%,2017-19,Female,1 years,Total,99623
mx,50%,2017-19,Male,57 years,Asian,0.00306
mx,2.50%,2017-19,Male,90 years,European or Other,0.17126
lx,50%,2017-19,Male,30 years,Asian,99026
qx,2.50%,2017-19,Female,26 years,Pacific,3.60E-04
qx,2.50%,2017-19,Female,95 years,nonMaori,0.21496
qx,97.50%,2017-19,Male,18 years,Maori,0.00106
Lx,50%,2017-19,Male,14 years,nonMaori,99360
ex,50%,2017-19,Male,28 years,Maori,46.89
mx,2.50%,2017-19,Male,2 years,Maori,2.00E-04
lx,50%,2017-19,Female,29 years,Asian,99351
ex,97.50%,2017-19,Male,5 years,Total,75.51
Lx,50%,2017-19,Male,78 years,Pacific,49691
